generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
Nonlinear,Easy,20,OU+B,12.628707539905363,0.21404589050687056,0.21583920325704092,0.9322033898305084,0.19519583749743508,
Nonlinear,Easy,21,OU+B,13.105284570344777,0.22212346729397928,0.2159823296267793,0.8983050847457628,-0.0919937461439899,
Nonlinear,Easy,22,OULB,-1.092606932559443,-0.018518761568804117,0.2670594716158515,0.8983050847457628,-0.06889378397925247,
Nonlinear,Easy,23,OU+B,24.14591982717279,0.4092528784266575,0.1748634999085738,0.9830508474576272,0.022676790141181274,
Nonlinear,Easy,24,OU+T,-0.9190168534918259,-0.015576556838844508,0.283592263051804,0.864406779661017,0.013038408772288856,
Nonlinear,Intermediate,0,OU+B,-3.4203596029419487,-0.14871128708443254,0.20677909144667697,1.0,-0.042559938783961415,
Nonlinear,Intermediate,1,OU+B,-6.930005344691379,-0.301304580203973,0.3076729678758234,1.0,-0.32780605057150886,
Nonlinear,Intermediate,2,OU+T,-9.567139586751686,-0.4159625907283342,0.35457972716990027,1.0,-0.3031870529558252,
Nonlinear,Intermediate,3,OULB,-12.825474176261373,-0.557629312011364,0.4331664448826216,0.9565217391304348,-0.38224801046414875,
Nonlinear,Intermediate,4,OULB,-7.864785085774358,-0.3419471776423634,0.43899626063594155,0.9565217391304348,0.03876853273136522,
Nonlinear,Intermediate,5,OU+B,-7.547693303506783,-0.3281605784133384,0.3354604056145943,1.0,-0.03896978634369,
Nonlinear,Intermediate,6,OULB,-9.680296020919053,-0.42088243569213274,0.3673427727927624,0.9565217391304348,-0.2592398258113725,
Nonlinear,Intermediate,7,OU+L,-12.177382628629996,-0.5294514186360868,0.4315833954227812,0.9565217391304348,-0.357848360845105,
Nonlinear,Intermediate,8,OU+B,-12.347200030500751,-0.5368347839348153,0.4018903740010005,0.9565217391304348,-0.49583770051736126,
Nonlinear,Intermediate,9,OU+T,-13.708411694081606,-0.5960178997426785,0.479012131166719,0.8695652173913043,-0.09694761501077925,
Nonlinear,Intermediate,10,OULB,-14.782667672698283,-0.6427246814216645,0.5402012423020004,0.8695652173913043,-0.5884154612761295,
Nonlinear,Intermediate,11,OU+B,-10.306548310647791,-0.44811079611512133,0.3974370652368539,0.9565217391304348,-0.5397738720962232,
Nonlinear,Intermediate,12,OULB,-7.979116807146538,-0.3469181220498495,0.4168346560915387,0.9565217391304348,-0.25217916942717805,
